DOC1 1,1:0.0668277 2,2:0.0534454 3,3:0.066428 4,4:0.0922613 5,5:0.128546 6,6:0.0711049 7,7:0.0800296 8,8:0.0541885 9,9:0.0774433 10,10:0.0753867 11,11:0.0583963 12,12:0.0555881 13,13:0.125985 14,14:0.112784 15,15:0.139221 16,16:0.0971628
DOC87 1,1:0.145186 2,2:0.0730397 3,3:0.0429185 4,4:0.0657021 5,5:0.0397332 6,6:0.0690593 7,7:0.0924152 8,8:0.0752066 9,9:0.0714584 10,10:0.0861983 11,11:0.11007 12,12:0.0565972 13,13:0.148911 14,14:0.0419625 15,15:0.0767386 16,16:0.106941
DOC88 1,1:0.0361749 2,2:0.0756926 3,3:0.117227 4,4:0.071314 5,5:0.110386 6,6:0.0791227 7,7:0.0725035 8,8:0.059284 9,9:0.0950542 10,10:0.0717912 11,11:0.074932 12,12:0.0564599 13,13:0.0907768 14,14:0.0641852 15,15:0.08503 16,16:0.0474547
DOC89 1,1:0.0921111 2,2:0.131426 3,3:0.144507 4,4:0.0979096 5,5:0.0546393 6,6:0.0717504 7,7:0.0505866 8,8:0.0785275 9,9:0.052779 10,10:0.0822743 11,11:0.0335496 12,12:0.0803549 13,13:0.121933 14,14:0.0619181 15,15:0.133758 16,16:0.0702842
DOC90 1,1:0.0467964 2,2:0.0784258 3,3:0.0860928 4,4:0.0795159 5,5:0.0717633 6,6:0.0501421 7,7:0.0519896 8,8:0.0423048 9,9:0.056373 10,10:0.147183 11,11:0.0826258 12,12:0.0940192 13,13:0.100666 14,14:0.0652659 15,15:0.101706 16,16:0.0588914
DOC91 1,1:0.066893 2,2:0.0452634 3,3:0.0745544 4,4:0.0746764 5,5:0.0847615 6,6:0.0733731 7,7:0.0738477 8,8:0.0897868 9,9:0.0753181 10,10:0.0835466 11,11:0.104748 12,12:0.0929426 13,13:0.0891511 14,14:0.111198 15,15:0.097692 16,16:0.0930759
DOC92 1,1:0.0823622 2,2:0.0772026 3,3:0.0412599 4,4:0.0558022 5,5:0.0608892 6,6:0.0569347 7,7:0.0390511 8,8:0.11156 9,9:0.125538 10,10:0.0666102 11,11:0.0532723 12,12:0.0830142 13,13:0.0712304 14,14:0.130627 15,15:0.113448 16,16:0.0536076
DOC93 1,1:0.12307 2,2:0.0485782 3,3:0.0521635 4,4:0.0917661 5,5:0.0655985 6,6:0.0409156 7,7:0.051295 8,8:0.0820768 9,9:0.0438163 10,10:0.0422136 11,11:0.111595 12,12:0.0390313 13,13:0.0634132 14,14:0.0646878 15,15:0.0797212 16,16:0.0885775
DOC94 1,1:0.136831 2,2:0.0573866 3,3:0.055587 4,4:0.126921 5,5:0.129995 6,6:0.108075 7,7:0.125531 8,8:0.141141 9,9:0.0494865 10,10:0.17782 11,11:0.101812 12,12:0.0684706 13,13:0.0617934 14,14:0.0473422 15,15:0.0740444 16,16:0.103736
DOC95 1,1:0.0459051 2,2:0.0760179 3,3:0.0819625 4,4:0.0905538 5,5:0.0944037 6,6:0.0737795 7,7:0.0330242 8,8:0.0463332 9,9:0.0931841 10,10:0.135346 11,11:0.0610199 12,12:0.0513231 13,13:0.0725746 14,14:0.0632298 15,15:0.046767 16,16:0.0441721
DOC96 1,1:0.0720722 2,2:0.0926862 3,3:0.0408481 4,4:0.0634464 5,5:0.127559 6,6:0.10702 7,7:0.0722531 8,8:0.134789 9,9:0.0763531 10,10:0.050548 11,11:0.0784041 12,12:0.134718 13,13:0.102429 14,14:0.0376273 15,15:0.0662386 16,16:0.0457156
DOC97 1,1:0.0990411 2,2:0.0635635 3,3:0.101049 4,4:0.0977966 5,5:0.0722704 6,6:0.058294 7,7:0.0784596 8,8:0.0826797 9,9:0.0369581 10,10:0.0490571 11,11:0.0525541 12,12:0.0828976 13,13:0.0996046 14,14:0.0651472 15,15:0.0995697 16,16:0.0450497
DOC98 1,1:0.0309678 2,2:0.0921578 3,3:0.054275 4,4:0.0540344 5,5:0.0522908 6,6:0.0474047 7,7:0.0763721 8,8:0.0943625 9,9:0.179337 10,10:0.0765063 11,11:0.128201 12,12:0.0858823 13,13:0.0552896 14,14:0.0449334 15,15:0.113054 16,16:0.0526978
DOC99 1,1:0.0328332 2,2:0.0797082 3,3:0.105643 4,4:0.0831176 5,5:0.0733098 6,6:0.0748075 7,7:0.148793 8,8:0.0848519 9,9:0.0961675 10,10:0.0736281 11,11:0.0569402 12,12:0.121256 13,13:0.0526556 14,14:0.0480545 15,15:0.0953926 16,16:0.080102
DOC100 1,1:0.0714142 2,2:0.0744725 3,3:0.0523889 4,4:0.0708884 5,5:0.106718 6,6:0.0400636 7,7:0.0973391 8,8:0.0598924 9,9:0.0901238 10,10:0.0549314 11,11:0.106508 12,12:0.100607 13,13:0.0551043 14,14:0.137709 15,15:0.119853 16,16:0.0615951
