DOC1790 1:-1.90288 2:-1.89806 3:-1.23352 4:-1.07096 5:-1.06628 6:-1.46325 7:-1.29627 8:-1.24606 9:-1.02123 10:-1.66668 11:-1.1102 12:-1.18223 13:-1.33842 14:-1.39823 15:-1.72736 16:-1.12959
DOC1791 1:-1.95905 2:-1.83529 3:-1.0959 4:-1.05215 5:-1.00845 6:-1.61625 7:-1.23531 8:-1.0802 9:-1.06117 10:-1.70012 11:-0.92434 12:-1.30157 13:-1.52067 14:-1.46025 15:-1.6672 16:-1.1651
DOC1792 1:-1.83162 2:-1.82606 3:-1.00867 4:-0.938582 5:-1.02771 6:-1.64018 7:-1.18851 8:-1.30154 9:-1.17524 10:-1.68997 11:-0.976354 12:-1.2715 13:-1.2948 14:-1.60801 15:-1.65289 16:-1.09326
DOC1793 1:-1.89666 2:-1.9993 3:-0.995341 4:-1.09759 5:-1.21524 6:-1.50749 7:-1.24843 8:-1.20699 9:-0.926303 10:-1.87427 11:-1.34376 12:-1.39406 13:-1.40984 14:-1.44575 15:-1.61533 16:-1.13482
DOC1794 1:-2.08472 2:-1.79793 3:-0.953533 4:-0.900157 5:-1.11535 6:-1.46143 7:-1.35573 8:-1.20537 9:-0.991579 10:-1.71086 11:-1.16972 12:-1.27436 13:-1.49851 14:-1.30067 15:-1.65027 16:-1.11144
DOC1795 1:-1.76833 2:-1.97088 3:-1.18475 4:-0.949214 5:-1.18344 6:-1.6293 7:-1.39609 8:-0.970327 9:-1.2064 10:-1.6077 11:-1.13299 12:-1.26345 13:-1.37598 14:-1.24757 15:-1.48047 16:-1.21192
DOC1796 1:-1.89757 2:-1.80268 3:-0.980899 4:-0.92122 5:-1.08233 6:-1.36339 7:-1.19659 8:-1.06579 9:-1.11794 10:-1.78369 11:-1.15639 12:-1.51784 13:-1.49414 14:-1.45032 15:-1.5051 16:-1.2175
DOC1797 1:-1.99537 2:-2.11771 3:-1.12954 4:-0.98896 5:-1.19596 6:-1.63089 7:-1.29379 8:-1.28003 9:-1.1574 10:-1.7189 11:-1.06269 12:-1.44279 13:-1.36935 14:-1.51888 15:-1.6881 16:-1.10354
DOC1798 1:-1.9764 2:-1.88264 3:-1.20978 4:-1.05799 5:-1.09211 6:-1.5047 7:-1.30016 8:-1.00621 9:-1.17993 10:-1.60967 11:-1.17682 12:-1.17013 13:-1.60555 14:-1.31072 15:-1.56367 16:-1.27128
DOC1799 1:-1.95967 2:-1.95654 3:-1.01707 4:-1.12189 5:-1.29704 6:-1.4596 7:-1.37225 8:-1.37597 9:-1.01246 10:-1.73717 11:-0.98029 12:-1.18225 13:-1.51976 14:-1.47747 15:-1.65594 16:-1.20754
DOC1800 1:-2.11344 2:-1.85109 3:-1.19733 4:-1.13123 5:-1.20966 6:-1.50938 7:-1.37518 8:-1.11909 9:-0.984877 10:-1.86468 11:-1.07583 12:-1.15505 13:-1.45357 14:-1.59557 15:-1.65111 16:-1.2486
DOC1801 1:-2.15974 2:-1.83968 3:-0.968068 4:-0.739799 5:-1.1311 6:-1.48104 7:-1.2719 8:-1.09059 9:-1.27179 10:-1.70851 11:-0.97192 12:-1.51201 13:-1.58329 14:-1.42333 15:-1.71576 16:-1.37736
DOC1802 1:-2.07152 2:-1.85205 3:-1.12472 4:-0.990114 5:-1.07066 6:-1.48778 7:-1.41631 8:-1.13389 9:-1.19793 10:-1.74372 11:-1.11181 12:-1.33573 13:-1.47653 14:-1.35925 15:-1.71099 16:-1.34823
DOC1803 1:-1.94271 2:-1.94826 3:-1.17918 4:-0.867123 5:-1.14291 6:-1.30061 7:-1.295 8:-1.27752 9:-0.97172 10:-1.72551 11:-1.03134 12:-1.10204 13:-1.47059 14:-1.55703 15:-1.6204 16:-1.34341
DOC1804 1:-1.80047 2:-1.79994 3:-1.12809 4:-1.02777 5:-1.071 6:-1.50254 7:-1.46956 8:-1.10795 9:-1.15153 10:-1.6047 11:-0.996234 12:-1.15284 13:-1.42483 14:-1.44174 15:-1.70951 16:-1.28303
DOC1805 1:-1.8857 2:-1.65471 3:-1.06041 4:-0.95909 5:-1.04264 6:-1.50112 7:-1.24992 8:-1.30663 9:-1.19712 10:-1.76263 11:-1.00056 12:-1.21798 13:-1.56034 14:-1.47837 15:-1.80083 16:-1.28898
DOC1806 1:-1.99061 2:-1.92664 3:-1.16625 4:-0.984213 5:-1.1756 6:-1.61448 7:-1.35768 8:-1.14755 9:-1.0422 10:-1.67364 11:-1.00642 12:-1.326 13:-1.48532 14:-1.46072 15:-1.76374 16:-1.218
DOC1807 1:-2.01927 2:-2.02897 3:-1.00486 4:-0.886768 5:-1.00632 6:-1.60458 7:-1.37318 8:-1.07938 9:-1.09724 10:-1.66651 11:-1.09128 12:-1.17816 13:-1.39924 14:-1.28042 15:-1.75052 16:-1.12004
DOC1808 1:-1.91386 2:-1.8165 3:-1.14412 4:-0.841734 5:-1.06886 6:-1.46627 7:-1.23456 8:-1.24761 9:-1.04736 10:-1.71201 11:-1.11574 12:-1.31846 13:-1.5918 14:-1.33651 15:-1.69116 16:-1.29964
DOC1809 1:-1.93454 2:-1.8484 3:-1.15519 4:-0.866258 5:-1.03505 6:-1.77394 7:-1.25031 8:-1.01847 9:-1.14803 10:-1.55269 11:-1.0046 12:-1.42593 13:-1.36622 14:-1.41389 15:-1.55279 16:-1.15658
DOC1810 1:-2.00692 2:-1.89215 3:-0.970843 4:-0.937498 5:-1.01891 6:-1.64269 7:-1.3534 8:-1.22673 9:-1.11734 10:-1.76625 11:-1.10026 12:-1.28817 13:-1.34822 14:-1.55848 15:-1.57953 16:-1.36103
DOC1811 1:-1.86503 2:-1.90088 3:-1.04081 4:-0.919138 5:-1.11463 6:-1.53932 7:-1.44775 8:-1.2804 9:-0.958659 10:-1.65543 11:-1.02171 12:-1.12902 13:-1.33487 14:-1.46073 15:-1.71719 16:-1.01891
DOC1812 1:-1.97308 2:-1.92721 3:-1.17068 4:-1.1281 5:-0.936441 6:-1.74051 7:-1.24999 8:-1.26693 9:-1.31219 10:-1.73947 11:-0.994243 12:-1.17533 13:-1.47486 14:-1.49628 15:-1.75746 16:-1.19741
DOC1813 1:-2.0046 2:-1.89849 3:-1.05065 4:-1.01781 5:-1.15346 6:-1.40263 7:-1.23935 8:-1.22079 9:-1.08779 10:-1.72927 11:-1.06657 12:-1.30153 13:-1.29945 14:-1.45078 15:-1.62324 16:-1.27115
DOC1814 1:-1.92465 2:-1.86358 3:-1.30398 4:-0.916895 5:-1.06461 6:-1.52661 7:-1.37203 8:-1.10745 9:-0.819073 10:-1.58954 11:-0.865788 12:-1.25779 13:-1.50043 14:-1.33782 15:-1.65212 16:-1.22009
DOC1815 1:-1.90374 2:-1.9766 3:-1.03745 4:-1.15177 5:-1.16781 6:-1.58143 7:-1.24499 8:-1.23648 9:-1.00168 10:-1.6658 11:-0.746968 12:-1.30007 13:-1.4803 14:-1.41598 15:-1.59639 16:-1.21859
DOC1816 1:-1.90541 2:-1.81911 3:-1.02954 4:-1.07498 5:-1.15855 6:-1.425 7:-1.24184 8:-1.07327 9:-0.999717 10:-1.79443 11:-1.17624 12:-1.26103 13:-1.37614 14:-1.3775 15:-1.59817 16:-1.20662
DOC1817 1:-1.90362 2:-1.79632 3:-1.07837 4:-0.988813 5:-1.04035 6:-1.53046 7:-1.12223 8:-0.825698 9:-1.07287 10:-1.75957 11:-1.16002 12:-1.22735 13:-1.4398 14:-1.60543 15:-1.81414 16:-1.52918
DOC1818 1:-1.87441 2:-1.88867 3:-1.06704 4:-1.07757 5:-1.17984 6:-1.48855 7:-1.27669 8:-0.983871 9:-1.32758 10:-1.78383 11:-1.08677 12:-1.29032 13:-1.55393 14:-1.23876 15:-1.77842 16:-1.22674
DOC1819 1:-1.84829 2:-1.81325 3:-1.28237 4:-1.06485 5:-0.876827 6:-1.62792 7:-1.28165 8:-1.11433 9:-1.01936 10:-1.47829 11:-1.00901 12:-1.26897 13:-1.63392 14:-1.27158 15:-1.70782 16:-1.37412
DOC1820 1:-2.02122 2:-1.91403 3:-1.07787 4:-1.00547 5:-1.19282 6:-1.56815 7:-1.3822 8:-1.2161 9:-0.906777 10:-1.68014 11:-1.11529 12:-1.37975 13:-1.74093 14:-1.45924 15:-1.7789 16:-1.15466
DOC1821 1:-1.97491 2:-1.89509 3:-1.19332 4:-1.02827 5:-1.17297 6:-1.52747 7:-1.22483 8:-1.15669 9:-1.05295 10:-1.69245 11:-1.11221 12:-1.15377 13:-1.40578 14:-1.62164 15:-1.68765 16:-1.28675
DOC1822 1:-2.01175 2:-1.87145 3:-1.20864 4:-1.07198 5:-1.2107 6:-1.54745 7:-1.29559 8:-1.19151 9:-1.08523 10:-1.70203 11:-1.24232 12:-1.19376 13:-1.37483 14:-1.66176 15:-1.61715 16:-1.2947
DOC1823 1:-2.02771 2:-1.752 3:-1.07867 4:-0.911832 5:-1.07131 6:-1.60895 7:-1.3893 8:-1.07518 9:-1.13533 10:-1.71804 11:-0.994085 12:-1.13044 13:-1.44549 14:-1.43159 15:-1.62966 16:-1.10585
DOC1824 1:-1.92914 2:-1.88658 3:-1.33753 4:-1.09114 5:-1.04017 6:-1.64508 7:-1.30945 8:-1.17535 9:-1.18817 10:-1.72697 11:-1.03357 12:-1.13255 13:-1.30325 14:-1.40893 15:-1.79382 16:-1.11839
DOC1825 1:-1.84626 2:-1.69359 3:-1.10069 4:-1.16695 5:-0.873686 6:-1.57736 7:-1.19836 8:-1.27938 9:-0.979521 10:-1.72395 11:-1.11496 12:-1.15364 13:-1.47527 14:-1.46863 15:-1.83328 16:-1.17826
DOC1826 1:-1.96173 2:-1.77578 3:-1.2557 4:-0.948497 5:-1.21295 6:-1.68097 7:-1.32813 8:-1.18598 9:-1.18346 10:-1.69567 11:-0.947008 12:-1.47131 13:-1.43365 14:-1.48117 15:-1.6262 16:-1.22613
DOC1827 1:-1.81438 2:-1.84464 3:-1.21597 4:-1.14987 5:-1.00039 6:-1.60381 7:-1.20239 8:-1.2187 9:-1.11487 10:-1.68151 11:-1.22405 12:-1.43595 13:-1.52833 14:-1.19576 15:-1.46073 16:-1.2845
DOC1828 1:-2.0306 2:-1.76046 3:-0.947522 4:-1.04113 5:-1.06434 6:-1.44136 7:-0.992945 8:-1.23573 9:-0.905855 10:-1.75844 11:-0.937146 12:-1.30196 13:-1.4132 14:-1.41405 15:-1.77179 16:-1.07785
DOC1829 1:-1.88444 2:-1.99838 3:-1.11203 4:-0.955416 5:-1.07685 6:-1.54282 7:-1.25668 8:-1.15583 9:-1.05828 10:-1.85013 11:-1.01064 12:-1.40705 13:-1.4418 14:-1.47042 15:-1.62952 16:-1.31645
DOC1830 1:-1.95678 2:-1.90344 3:-1.29157 4:-1.04252 5:-1.13365 6:-1.59801 7:-1.21881 8:-1.10683 9:-1.03335 10:-1.60637 11:-1.01718 12:-1.38133 13:-1.31859 14:-1.49593 15:-1.58962 16:-1.0948
DOC1831 1:-1.98028 2:-1.76577 3:-1.22577 4:-1.02824 5:-1.11642 6:-1.60318 7:-1.13851 8:-1.01338 9:-1.12013 10:-1.61997 11:-1.08078 12:-1.31663 13:-1.55759 14:-1.58542 15:-1.67144 16:-1.15359
DOC1832 1:-1.90998 2:-1.88751 3:-1.01721 4:-0.910604 5:-1.14882 6:-1.65999 7:-1.15789 8:-1.01989 9:-0.930881 10:-1.58037 11:-1.38127 12:-1.29625 13:-1.48858 14:-1.58918 15:-1.61669 16:-1.09096
DOC1833 1:-1.93829 2:-1.69498 3:-1.20968 4:-1.2709 5:-1.00982 6:-1.55655 7:-1.43675 8:-1.09271 9:-1.0646 10:-1.74698 11:-0.898752 12:-1.26239 13:-1.38272 14:-1.505 15:-1.80689 16:-1.09906
DOC1834 1:-1.89821 2:-1.86819 3:-1.11133 4:-0.883682 5:-1.063 6:-1.64883 7:-1.3602 8:-1.093 9:-1.1354 10:-1.6557 11:-1.04841 12:-1.16907 13:-1.41692 14:-1.52905 15:-1.66392 16:-1.29367
DOC1835 1:-1.93827 2:-1.86058 3:-1.15102 4:-1.22226 5:-1.12153 6:-1.56182 7:-1.43088 8:-1.09129 9:-1.05946 10:-1.71151 11:-1.25234 12:-1.3215 13:-1.51787 14:-1.36982 15:-1.67272 16:-1.1633
DOC1836 1:-2.18581 2:-1.91524 3:-1.2259 4:-1.08821 5:-1.01952 6:-1.48396 7:-1.33798 8:-1.15807 9:-0.971956 10:-1.6797 11:-1.19105 12:-1.24049 13:-1.34739 14:-1.54458 15:-1.56172 16:-1.25968
DOC1837 1:-2.04034 2:-1.88769 3:-1.0533 4:-0.991313 5:-1.04899 6:-1.70968 7:-1.26123 8:-1.36785 9:-1.0226 10:-1.59161 11:-1.07035 12:-1.48202 13:-1.42973 14:-1.36031 15:-1.73316 16:-1.19708
DOC1838 1:-1.87445 2:-1.81836 3:-1.16668 4:-0.977989 5:-1.02618 6:-1.31382 7:-1.16983 8:-1.18957 9:-0.94147 10:-1.70149 11:-0.961176 12:-1.19858 13:-1.448 14:-1.51193 15:-1.65616 16:-1.21171
DOC1839 1:-1.83843 2:-1.88732 3:-0.966879 4:-1.23858 5:-1.02252 6:-1.57971 7:-1.45896 8:-1.19666 9:-1.22748 10:-1.62077 11:-1.03727 12:-1.21226 13:-1.36556 14:-1.34384 15:-1.53258 16:-1.03888
DOC1840 1:-1.86238 2:-2.0826 3:-1.20037 4:-1.16187 5:-1.22938 6:-1.58363 7:-1.35584 8:-1.06577 9:-1.04143 10:-1.82527 11:-1.13879 12:-1.39334 13:-1.51701 14:-1.38504 15:-1.79731 16:-1.17219
DOC1841 1:-2.0164 2:-1.78497 3:-1.33323 4:-0.874892 5:-1.00064 6:-1.62784 7:-1.29701 8:-1.20819 9:-0.858465 10:-1.63525 11:-1.10966 12:-1.1911 13:-1.55899 14:-1.47507 15:-1.83424 16:-1.34961
DOC1842 1:-1.98433 2:-2.09048 3:-1.08752 4:-1.14834 5:-1.16381 6:-1.84228 7:-1.3444 8:-1.25492 9:-1.07402 10:-1.70959 11:-0.953819 12:-1.25891 13:-1.27346 14:-1.32769 15:-1.59291 16:-1.26249
DOC1843 1:-1.82058 2:-1.96404 3:-1.21539 4:-1.18171 5:-1.09571 6:-1.74683 7:-1.2051 8:-1.08297 9:-1.3236 10:-1.85176 11:-1.13186 12:-1.42266 13:-1.38909 14:-1.5311 15:-1.59772 16:-1.22971
DOC1844 1:-1.96861 2:-1.87498 3:-0.961726 4:-1.03494 5:-1.16605 6:-1.53028 7:-1.08522 8:-1.23782 9:-0.981262 10:-1.73003 11:-0.908591 12:-1.22331 13:-1.4835 14:-1.58986 15:-1.69013 16:-1.1412
DOC1845 1:-1.79993 2:-1.83442 3:-1.24424 4:-1.03197 5:-1.1188 6:-1.54217 7:-1.20602 8:-1.26651 9:-0.918338 10:-1.78544 11:-1.15366 12:-0.982327 13:-1.55289 14:-1.46912 15:-1.53191 16:-1.25865
DOC1846 1:-1.94209 2:-1.84854 3:-0.847024 4:-1.15818 5:-0.99352 6:-1.51451 7:-1.22355 8:-1.41622 9:-1.06007 10:-1.48367 11:-1.29266 12:-1.32641 13:-1.52067 14:-1.29399 15:-1.6386 16:-1.15067
DOC1847 1:-2.17334 2:-1.86944 3:-1.04683 4:-1.00961 5:-1.08098 6:-1.47868 7:-1.30065 8:-1.16524 9:-0.994699 10:-1.64801 11:-1.04355 12:-1.46921 13:-1.34475 14:-1.24929 15:-1.77554 16:-1.32416
DOC1848 1:-1.86522 2:-2.01214 3:-1.18177 4:-1.07556 5:-1.34116 6:-1.61524 7:-1.19442 8:-1.15733 9:-1.17805 10:-1.62669 11:-1.06218 12:-1.32677 13:-1.32325 14:-1.5185 15:-1.49731 16:-1.24237
DOC1849 1:-1.99757 2:-1.76167 3:-1.19025 4:-1.05628 5:-1.0459 6:-1.52819 7:-1.292 8:-1.17343 9:-1.02675 10:-1.78981 11:-1.18721 12:-1.19915 13:-1.45952 14:-1.47073 15:-1.53007 16:-1.21429
DOC1850 1:-1.88497 2:-1.91178 3:-1.16379 4:-0.894427 5:-1.13907 6:-1.65834 7:-1.16217 8:-1.18618 9:-1.17114 10:-1.53482 11:-1.04831 12:-1.11452 13:-1.39132 14:-1.44654 15:-1.72159 16:-1.13971
DOC1851 1:-2.19157 2:-1.83301 3:-1.16685 4:-0.919633 5:-1.12883 6:-1.72634 7:-1.16807 8:-1.04909 9:-1.10471 10:-1.74642 11:-1.25338 12:-1.20275 13:-1.32572 14:-1.59535 15:-1.74413 16:-1.01087
DOC1852 1:-2.04977 2:-2.01674 3:-1.04728 4:-0.989081 5:-1.10012 6:-1.63811 7:-1.24006 8:-1.30383 9:-1.02324 10:-1.75021 11:-1.07971 12:-1.2475 13:-1.463 14:-1.347 15:-1.71987 16:-1.31871
DOC1853 1:-2.13527 2:-1.56708 3:-1.19016 4:-0.961399 5:-1.23376 6:-1.527 7:-1.1668 8:-1.18689 9:-0.967088 10:-1.73124 11:-1.18165 12:-1.39298 13:-1.43659 14:-1.45762 15:-1.59184 16:-1.2838
DOC1854 1:-2.14319 2:-1.81235 3:-0.927593 4:-0.877598 5:-1.08092 6:-1.60464 7:-1.35485 8:-1.22229 9:-1.04926 10:-1.73619 11:-1.15358 12:-1.24857 13:-1.49304 14:-1.39827 15:-1.54059 16:-1.23314
DOC1855 1:-1.96281 2:-1.93631 3:-1.13446 4:-0.789407 5:-0.762551 6:-1.57406 7:-1.38637 8:-1.37032 9:-1.1392 10:-1.8588 11:-1.05447 12:-1.36227 13:-1.40049 14:-1.50965 15:-1.76366 16:-1.2566
DOC1856 1:-1.939 2:-1.85935 3:-1.03739 4:-0.921968 5:-1.03355 6:-1.33593 7:-1.23861 8:-1.16511 9:-1.16335 10:-1.58721 11:-1.27635 12:-1.26634 13:-1.47257 14:-1.45795 15:-1.56405 16:-1.12524
DOC1857 1:-1.98395 2:-1.79617 3:-1.01306 4:-1.1911 5:-1.13251 6:-1.51154 7:-1.45259 8:-1.208 9:-1.09607 10:-1.82404 11:-0.979978 12:-1.1619 13:-1.44239 14:-1.53548 15:-1.67331 16:-1.34693
DOC1858 1:-2.07012 2:-1.89488 3:-1.0968 4:-0.886155 5:-1.07366 6:-1.68181 7:-1.2299 8:-1.15781 9:-0.83353 10:-1.74832 11:-1.07983 12:-1.34135 13:-1.25093 14:-1.43843 15:-1.84961 16:-0.937235
DOC1859 1:-1.98683 2:-1.99121 3:-1.31001 4:-1.06878 5:-1.1418 6:-1.44869 7:-1.34269 8:-1.18582 9:-1.08268 10:-1.80333 11:-1.17472 12:-1.35667 13:-1.36389 14:-1.6425 15:-1.62638 16:-1.24091
DOC1860 1:-1.94739 2:-1.84052 3:-1.08788 4:-1.0967 5:-1.15266 6:-1.54873 7:-1.2224 8:-1.14681 9:-1.03309 10:-1.56652 11:-1.08164 12:-1.37857 13:-1.24164 14:-1.61682 15:-1.65227 16:-1.13894
DOC1861 1:-1.91227 2:-1.99332 3:-1.15826 4:-1.03811 5:-0.936004 6:-1.43058 7:-1.23434 8:-1.09117 9:-0.963474 10:-1.82764 11:-1.18662 12:-1.2738 13:-1.35743 14:-1.44504 15:-1.66654 16:-1.30537
DOC1862 1:-1.9286 2:-1.94756 3:-1.18676 4:-0.935371 5:-1.01042 6:-1.45474 7:-1.23359 8:-1.13616 9:-0.989953 10:-1.71143 11:-0.835429 12:-1.14549 13:-1.29101 14:-1.4898 15:-1.57335 16:-1.17566
DOC1863 1:-2.10605 2:-1.92457 3:-1.22656 4:-1.04949 5:-1.1908 6:-1.61414 7:-1.40423 8:-1.11322 9:-1.13956 10:-1.81523 11:-1.14092 12:-1.18992 13:-1.46567 14:-1.45629 15:-1.80233 16:-1.16304
DOC1864 1:-1.92018 2:-1.78061 3:-1.22354 4:-1.06242 5:-0.954531 6:-1.50306 7:-1.05458 8:-1.18542 9:-1.06293 10:-1.66243 11:-1.10922 12:-1.30332 13:-1.3747 14:-1.46201 15:-1.56751 16:-1.15012
DOC1865 1:-2.0196 2:-1.87446 3:-1.05194 4:-0.773163 5:-1.27061 6:-1.38771 7:-1.34531 8:-1.24711 9:-1.0216 10:-1.56044 11:-0.903722 12:-1.23305 13:-1.60434 14:-1.42983 15:-1.63909 16:-1.26295
DOC1866 1:-2.03915 2:-1.81649 3:-1.07262 4:-1.10622 5:-1.06908 6:-1.5204 7:-1.30098 8:-1.21299 9:-1.04859 10:-1.76491 11:-1.20509 12:-1.11583 13:-1.44269 14:-1.48145 15:-1.71651 16:-1.14531
DOC1867 1:-2.01251 2:-1.87667 3:-1.17588 4:-1.09827 5:-1.07309 6:-1.59655 7:-1.2938 8:-1.082 9:-1.02856 10:-1.55409 11:-1.03712 12:-1.29784 13:-1.51097 14:-1.26135 15:-1.7327 16:-1.32387
DOC1868 1:-2.13179 2:-1.88388 3:-1.20852 4:-1.10043 5:-1.19258 6:-1.37994 7:-1.19 8:-1.14265 9:-1.01572 10:-1.64133 11:-1.12649 12:-1.0301 13:-1.4598 14:-1.44798 15:-1.75135 16:-1.31737
DOC1869 1:-1.8648 2:-1.87795 3:-1.15 4:-1.13779 5:-1.19593 6:-1.563 7:-1.2863 8:-1.20217 9:-0.912417 10:-1.88881 11:-1.16352 12:-1.35827 13:-1.5231 14:-1.48993 15:-1.57254 16:-1.05419
DOC1870 1:-2.03334 2:-2.04683 3:-1.14961 4:-1.20796 5:-1.07363 6:-1.58277 7:-1.25395 8:-1.19669 9:-1.04062 10:-1.82114 11:-0.92762 12:-1.19642 13:-1.44981 14:-1.59433 15:-1.74691 16:-1.29945
DOC1871 1:-2.05092 2:-1.87145 3:-1.18812 4:-0.94654 5:-1.11132 6:-1.60418 7:-1.32453 8:-1.13143 9:-1.00875 10:-1.84775 11:-1.01295 12:-1.36576 13:-1.43372 14:-1.52706 15:-1.57814 16:-1.24716
DOC1872 1:-1.89064 2:-2.07929 3:-1.17511 4:-0.998807 5:-1.24842 6:-1.35891 7:-1.37738 8:-1.24594 9:-0.994761 10:-1.72454 11:-1.12138 12:-1.20458 13:-1.31085 14:-1.40058 15:-1.71885 16:-1.23187
DOC1873 1:-2.09016 2:-1.88609 3:-0.97141 4:-1.01559 5:-1.03171 6:-1.64439 7:-1.20673 8:-1.06216 9:-1.09535 10:-1.60441 11:-0.994579 12:-1.24892 13:-1.48469 14:-1.42466 15:-1.61275 16:-1.089
DOC1874 1:-1.99146 2:-1.84475 3:-1.13569 4:-1.09254 5:-1.01728 6:-1.63524 7:-1.30055 8:-1.16065 9:-1.10449 10:-1.76605 11:-1.23085 12:-1.25783 13:-1.39958 14:-1.60363 15:-1.7426 16:-1.29044
DOC1875 1:-1.87563 2:-1.92815 3:-1.1175 4:-1.01385 5:-1.29372 6:-1.57092 7:-1.312 8:-1.19792 9:-1.21972 10:-1.88173 11:-1.069 12:-1.34446 13:-1.53275 14:-1.38525 15:-1.67624 16:-1.25684
DOC1876 1:-1.90986 2:-2.02987 3:-1.10053 4:-1.18933 5:-1.07823 6:-1.6731 7:-1.22374 8:-1.39488 9:-1.0149 10:-1.67527 11:-1.03026 12:-1.31787 13:-1.4302 14:-1.37576 15:-1.48833 16:-1.10314
DOC1877 1:-1.91668 2:-1.82245 3:-1.1911 4:-0.959836 5:-1.0079 6:-1.78957 7:-1.11779 8:-1.04311 9:-1.1024 10:-1.88572 11:-1.01115 12:-1.25568 13:-1.42575 14:-1.30145 15:-1.61477 16:-1.39217
DOC1878 1:-2.09303 2:-1.79676 3:-0.977783 4:-1.09959 5:-1.03746 6:-1.74329 7:-1.29545 8:-1.13024 9:-0.954565 10:-1.59595 11:-1.12908 12:-1.29399 13:-1.35668 14:-1.26329 15:-1.80883 16:-1.20242
DOC1879 1:-2.06169 2:-1.75131 3:-1.25164 4:-0.878139 5:-1.14973 6:-1.53089 7:-1.1992 8:-1.12588 9:-0.957613 10:-1.73079 11:-0.90147 12:-1.34739 13:-1.53477 14:-1.23439 15:-1.62407 16:-1.29731
DOC1880 1:-1.94415 2:-1.8635 3:-1.09143 4:-0.887177 5:-1.22423 6:-1.34997 7:-1.26243 8:-1.16454 9:-0.945642 10:-1.85025 11:-1.1896 12:-1.18704 13:-1.57459 14:-1.407 15:-1.73273 16:-1.2329
DOC1881 1:-2.0179 2:-1.89722 3:-1.06071 4:-0.99757 5:-1.10443 6:-1.62298 7:-1.44875 8:-0.978627 9:-1.19436 10:-1.71789 11:-1.16234 12:-1.18352 13:-1.37609 14:-1.5513 15:-1.56987 16:-1.05457
DOC1882 1:-1.98316 2:-1.75782 3:-1.08781 4:-0.92328 5:-1.27312 6:-1.56006 7:-1.18486 8:-1.32033 9:-0.96392 10:-1.81121 11:-1.23829 12:-1.13814 13:-1.59249 14:-1.36473 15:-1.6099 16:-1.14431
DOC1883 1:-1.84049 2:-1.78765 3:-0.999547 4:-1.0472 5:-1.11285 6:-1.46777 7:-1.30335 8:-1.02687 9:-1.08235 10:-1.59919 11:-1.14528 12:-1.18445 13:-1.35115 14:-1.26062 15:-1.68238 16:-1.14112
DOC1884 1:-1.81886 2:-1.93648 3:-1.02035 4:-1.09913 5:-1.12987 6:-1.6532 7:-1.38187 8:-1.1974 9:-1.06142 10:-1.74105 11:-0.972706 12:-1.16168 13:-1.47251 14:-1.22508 15:-1.56411 16:-1.30992
DOC1885 1:-1.91419 2:-1.94313 3:-0.977547 4:-0.835041 5:-1.1327 6:-1.60466 7:-1.27582 8:-1.13697 9:-0.977085 10:-1.81593 11:-1.17675 12:-1.35247 13:-1.52627 14:-1.46356 15:-1.87678 16:-1.26284
DOC1886 1:-1.96891 2:-1.96122 3:-1.19076 4:-0.761215 5:-1.25406 6:-1.49839 7:-1.3155 8:-1.16908 9:-0.960735 10:-1.62546 11:-1.04313 12:-1.20845 13:-1.33015 14:-1.3403 15:-1.75383 16:-1.1853
DOC1887 1:-1.878 2:-2.04406 3:-1.16845 4:-0.964279 5:-1.15934 6:-1.65176 7:-1.26361 8:-1.10822 9:-1.11411 10:-1.68052 11:-1.08081 12:-1.37184 13:-1.49612 14:-1.49817 15:-1.67318 16:-1.29129
DOC1888 1:-1.87351 2:-1.74833 3:-1.14835 4:-0.919782 5:-0.997565 6:-1.6223 7:-1.5514 8:-1.29197 9:-0.856479 10:-1.74155 11:-1.04008 12:-1.29947 13:-1.47872 14:-1.3916 15:-1.71551 16:-1.20707
DOC1889 1:-1.93265 2:-1.92157 3:-1.20384 4:-0.807447 5:-0.90662 6:-1.48973 7:-1.25189 8:-1.04784 9:-1.19864 10:-1.72614 11:-1.13238 12:-1.34194 13:-1.50812 14:-1.36925 15:-1.68962 16:-1.23502
DOC1890 1:-1.9154 2:-1.94474 3:-1.02421 4:-0.941507 5:-1.1208 6:-1.53275 7:-1.52323 8:-1.13404 9:-1.06512 10:-1.76531 11:-0.96168 12:-1.23793 13:-1.35545 14:-1.39717 15:-1.67801 16:-1.36298
DOC1891 1:-1.99586 2:-1.86469 3:-1.05594 4:-1.10006 5:-1.01968 6:-1.4548 7:-1.36728 8:-1.08693 9:-0.928623 10:-1.84902 11:-1.06685 12:-1.24671 13:-1.37988 14:-1.53424 15:-1.73392 16:-1.1521
DOC1892 1:-1.99513 2:-1.71355 3:-1.03096 4:-1.01194 5:-1.24926 6:-1.64511 7:-1.24646 8:-1.02122 9:-0.954414 10:-1.54053 11:-1.11604 12:-1.33852 13:-1.46143 14:-1.60639 15:-1.60233 16:-1.22127
DOC1893 1:-2.21994 2:-1.7638 3:-1.14589 4:-0.983829 5:-1.03596 6:-1.55332 7:-1.32546 8:-1.2145 9:-0.946981 10:-1.59494 11:-1.18181 12:-1.39842 13:-1.40895 14:-1.41162 15:-1.61385 16:-1.32285
