DOC1 1,1:0.0699915
DOC2557 1,1:0.079028
DOC2558 1,1:0.0715125
DOC2559 1,1:0.0765174
DOC2560 1,1:0.0672033
DOC2561 1,1:0.0830874
DOC2562 1,1:0.0864143
DOC2563 1,1:0.0693607
DOC2564 1,1:0.08643
DOC2565 1,1:0.0914444
DOC2566 1,1:0.0812243
DOC2567 1,1:0.0766529
DOC2568 1,1:0.091152
DOC2569 1,1:0.079694
DOC2570 1,1:0.0763571
DOC2571 1,1:0.0671009
DOC2572 1,1:0.0908939
DOC2573 1,1:0.0767074
DOC2574 1,1:0.0797257
DOC2575 1,1:0.0748304
DOC2576 1,1:0.0755302
DOC2577 1,1:0.069488
DOC2578 1,1:0.0760661
DOC2579 1,1:0.071582
DOC2580 1,1:0.0781488
DOC2581 1,1:0.0805711
DOC2582 1,1:0.0810178
DOC2583 1,1:0.0814677
DOC2584 1,1:0.080937
DOC2585 1,1:0.0895516
DOC2586 1,1:0.0863598
DOC2587 1,1:0.0838975
DOC2588 1,1:0.0786347
DOC2589 1,1:0.0792003
DOC2590 1,1:0.0731296
DOC2591 1,1:0.0768653
DOC2592 1,1:0.0749796
DOC2593 1,1:0.0935687
DOC2594 1,1:0.0707598
DOC2595 1,1:0.0779817
DOC2596 1,1:0.0838597
DOC2597 1,1:0.0809327
DOC2598 1,1:0.0674551
DOC2599 1,1:0.0721954
DOC2600 1,1:0.0925058
DOC2601 1,1:0.0752482
DOC2602 1,1:0.0830321
DOC2603 1,1:0.0633502
DOC2604 1,1:0.078986
DOC2605 1,1:0.084115
DOC2606 1,1:0.0832704
DOC2607 1,1:0.0816552
DOC2608 1,1:0.0699621
DOC2609 1,1:0.0888482
DOC2610 1,1:0.0872248
DOC2611 1,1:0.0767865
DOC2612 1,1:0.0840318
DOC2613 1,1:0.096296
DOC2614 1,1:0.0861942
DOC2615 1,1:0.072342
DOC2616 1,1:0.0761479
DOC2617 1,1:0.072644
DOC2618 1,1:0.0876492
DOC2619 1,1:0.0811174
DOC2620 1,1:0.07731
DOC2621 1,1:0.0826725
DOC2622 1,1:0.073435
DOC2623 1,1:0.0819487
DOC2624 1,1:0.0731562
DOC2625 1,1:0.076985
DOC2626 1,1:0.0757421
DOC2627 1,1:0.0800405
DOC2628 1,1:0.0902946
DOC2629 1,1:0.0875739
DOC2630 1,1:0.076702
DOC2631 1,1:0.0790309
DOC2632 1,1:0.076674
DOC2633 1,1:0.0794573
DOC2634 1,1:0.0876226
DOC2635 1,1:0.0721315
DOC2636 1,1:0.0806067
DOC2637 1,1:0.0808588
DOC2638 1,1:0.0818477
DOC2639 1,1:0.0775405
DOC2640 1,1:0.0908671
DOC2641 1,1:0.105264
DOC2642 1,1:0.0794672
DOC2643 1,1:0.077314
DOC2644 1,1:0.101561
DOC2645 1,1:0.0798263
DOC2646 1,1:0.0900759
DOC2647 1,1:0.0725567
DOC2648 1,1:0.0769698
DOC2649 1,1:0.0848542
DOC2650 1,1:0.0828091
DOC2651 1,1:0.0854129
DOC2652 1,1:0.0695038
DOC2653 1,1:0.0899495
DOC2654 1,1:0.0834756
DOC2655 1,1:0.080261
DOC2656 1,1:0.0830779
DOC2657 1,1:0.0921471
DOC2658 1,1:0.0782094
DOC2659 1,1:0.083715
DOC2660 1,1:0.0899086
DOC2661 1,1:0.0739476
DOC2662 1,1:0.0859674
DOC2663 1,1:0.0812526
DOC2664 1,1:0.090364
DOC2665 1,1:0.0790488
DOC2666 1,1:0.0883675
DOC2667 1,1:0.0922592
DOC2668 1,1:0.0789152
DOC2669 1,1:0.0803692
DOC2670 1,1:0.0744786
DOC2671 1,1:0.0851832
DOC2672 1,1:0.0821708
DOC2673 1,1:0.0884515
DOC2674 1,1:0.07442
DOC2675 1,1:0.0850579
DOC2676 1,1:0.0733216
DOC2677 1,1:0.0894706
DOC2678 1,1:0.0872538
DOC2679 1,1:0.0918165
DOC2680 1,1:0.0721785
DOC2681 1,1:0.088466
DOC2682 1,1:0.0777551
DOC2683 1,1:0.0834521
DOC2684 1,1:0.0764045
DOC2685 1,1:0.0751243
DOC2686 1,1:0.0886619
DOC2687 1,1:0.0827342
DOC2688 1,1:0.080875
DOC2689 1,1:0.0697063
DOC2690 1,1:0.0824976
DOC2691 1,1:0.0778456
DOC2692 1,1:0.0782898
DOC2693 1,1:0.0826671
DOC2694 1,1:0.0860939
DOC2695 1,1:0.081975
DOC2696 1,1:0.0761865
DOC2697 1,1:0.0875099
DOC2698 1,1:0.0896022
DOC2699 1,1:0.0804784
DOC2700 1,1:0.0713361
DOC2701 1,1:0.078287
DOC2702 1,1:0.085487
DOC2703 1,1:0.0705815
DOC2704 1,1:0.0894039
DOC2705 1,1:0.078722
DOC2706 1,1:0.0746623
DOC2707 1,1:0.0795261
DOC2708 1,1:0.077618
DOC2709 1,1:0.0923401
DOC2710 1,1:0.0798072
DOC2711 1,1:0.0735711
DOC2712 1,1:0.0833576
DOC2713 1,1:0.0722367
DOC2714 1,1:0.0785541
DOC2715 1,1:0.0727001
DOC2716 1,1:0.0822956
DOC2717 1,1:0.0796572
DOC2718 1,1:0.0800541
DOC2719 1,1:0.0733238
DOC2720 1,1:0.0749261
DOC2721 1,1:0.0763247
DOC2722 1,1:0.0845161
DOC2723 1,1:0.0739928
DOC2724 1,1:0.0761931
DOC2725 1,1:0.081772
DOC2726 1,1:0.0794298
DOC2727 1,1:0.084769
DOC2728 1,1:0.100903
DOC2729 1,1:0.0694159
DOC2730 1,1:0.0788775
DOC2731 1,1:0.0731468
DOC2732 1,1:0.073855
DOC2733 1,1:0.0936017
DOC2734 1,1:0.0820387
DOC2735 1,1:0.0788198
DOC2736 1,1:0.0731472
DOC2737 1,1:0.0821324
DOC2738 1,1:0.071049
DOC2739 1,1:0.0768141
DOC2740 1,1:0.083078
DOC2741 1,1:0.0797826
DOC2742 1,1:0.0735585
DOC2743 1,1:0.0644615
DOC2744 1,1:0.0738901
DOC2745 1,1:0.0740303
DOC2746 1,1:0.0803027
DOC2747 1,1:0.0785958
DOC2748 1,1:0.0895313
DOC2749 1,1:0.0839354
DOC2750 1,1:0.0734659
DOC2751 1,1:0.091393
DOC2752 1,1:0.070854
DOC2753 1,1:0.0760927
DOC2754 1,1:0.0875988
DOC2755 1,1:0.0806287
DOC2756 1,1:0.0812079
DOC2757 1,1:0.0855711
DOC2758 1,1:0.0778554
DOC2759 1,1:0.0748441
DOC2760 1,1:0.0771714
DOC2761 1,1:0.0912316
DOC2762 1,1:0.096387
DOC2763 1,1:0.0783954
DOC2764 1,1:0.0714836
DOC2765 1,1:0.0756044
DOC2766 1,1:0.0757998
DOC2767 1,1:0.086683
DOC2768 1,1:0.0730439
DOC2769 1,1:0.0742029
DOC2770 1,1:0.0825508
DOC2771 1,1:0.088716
DOC2772 1,1:0.0845299
DOC2773 1,1:0.0761922
DOC2774 1,1:0.0930636
DOC2775 1,1:0.084765
DOC2776 1,1:0.0795363
DOC2777 1,1:0.0831573
DOC2778 1,1:0.08401
DOC2779 1,1:0.087545
DOC2780 1,1:0.0737118
DOC2781 1,1:0.0659222
DOC2782 1,1:0.0911999
DOC2783 1,1:0.0671026
DOC2784 1,1:0.0826549
DOC2785 1,1:0.0785636
DOC2786 1,1:0.0827322
DOC2787 1,1:0.0804322
DOC2788 1,1:0.075439
DOC2789 1,1:0.0742753
DOC2790 1,1:0.0966555
DOC2791 1,1:0.0852694
DOC2792 1,1:0.0763169
DOC2793 1,1:0.0851901
DOC2794 1,1:0.0811419
DOC2795 1,1:0.0805361
DOC2796 1,1:0.0951131
DOC2797 1,1:0.082594
DOC2798 1,1:0.0847562
DOC2799 1,1:0.0679303
DOC2800 1,1:0.0661369
DOC2801 1,1:0.0978126
DOC2802 1,1:0.0881411
DOC2803 1,1:0.087547
DOC2804 1,1:0.0846754
DOC2805 1,1:0.0762662
DOC2806 1,1:0.082691
DOC2807 1,1:0.0800295
DOC2808 1,1:0.0827807
DOC2809 1,1:0.0748558
DOC2810 1,1:0.0699849
DOC2811 1,1:0.0733944
DOC2812 1,1:0.0650977
DOC2813 1,1:0.0693623
DOC2814 1,1:0.0691577
DOC2815 1,1:0.0819314
DOC2816 1,1:0.0782095
DOC2817 1,1:0.0846801
DOC2818 1,1:0.0859443
DOC2819 1,1:0.0811242
DOC2820 1,1:0.0737633
DOC2821 1,1:0.0854473
DOC2822 1,1:0.0896123
DOC2823 1,1:0.0777152
DOC2824 1,1:0.0673772
DOC2825 1,1:0.0970848
DOC2826 1,1:0.0930951
DOC2827 1,1:0.0863289
DOC2828 1,1:0.0611242
DOC2829 1,1:0.0819281
DOC2830 1,1:0.0811845
DOC2831 1,1:0.0796564
DOC2832 1,1:0.0854444
DOC2833 1,1:0.0833811
DOC2834 1,1:0.0904579
DOC2835 1,1:0.096201
DOC2836 1,1:0.0883176
DOC2837 1,1:0.0710928
DOC2838 1,1:0.0826362
DOC2839 1,1:0.0862103
DOC2840 1,1:0.0790745
DOC2841 1,1:0.0640415
DOC2842 1,1:0.0842916
DOC2843 1,1:0.0933507
DOC2844 1,1:0.0830873
DOC2845 1,1:0.0760866
DOC2846 1,1:0.0793644
DOC2847 1,1:0.0818033
DOC2848 1,1:0.066732
DOC2849 1,1:0.0805825
DOC2850 1,1:0.0698541
DOC2851 1,1:0.0849732
DOC2852 1,1:0.084458
DOC2853 1,1:0.0820438
DOC2854 1,1:0.0756134
DOC2855 1,1:0.0918383
DOC2856 1,1:0.0766922
DOC2857 1,1:0.0789688
DOC2858 1,1:0.0718656
DOC2859 1,1:0.0776358
DOC2860 1,1:0.078641
DOC2861 1,1:0.071383
DOC2862 1,1:0.0684811
DOC2863 1,1:0.0728701
DOC2864 1,1:0.0727771
DOC2865 1,1:0.082143
DOC2866 1,1:0.07508
DOC2867 1,1:0.0733826
DOC2868 1,1:0.0718233
DOC2869 1,1:0.0700461
DOC2870 1,1:0.0723793
DOC2871 1,1:0.0770343
DOC2872 1,1:0.079263
DOC2873 1,1:0.0750325
DOC2874 1,1:0.0738642
DOC2875 1,1:0.0855385
DOC2876 1,1:0.0708683
DOC2877 1,1:0.0722317
DOC2878 1,1:0.0849678
DOC2879 1,1:0.0740158
DOC2880 1,1:0.0796561
DOC2881 1,1:0.0785607
DOC2882 1,1:0.0793212
DOC2883 1,1:0.0921455
DOC2884 1,1:0.0814152
DOC2885 1,1:0.0864588
DOC2886 1,1:0.0689628
DOC2887 1,1:0.0744039
DOC2888 1,1:0.0698375
DOC2889 1,1:0.0733955
DOC2890 1,1:0.0758069
DOC2891 1,1:0.0782965
DOC2892 1,1:0.0771365
DOC2893 1,1:0.0829078
DOC2894 1,1:0.0760525
DOC2895 1,1:0.0858475
DOC2896 1,1:0.0773668
DOC2897 1,1:0.0738833
DOC2898 1,1:0.0746286
DOC2899 1,1:0.0792246
DOC2900 1,1:0.0770648
DOC2901 1,1:0.0866624
DOC2902 1,1:0.0835188
DOC2903 1,1:0.0802513
DOC2904 1,1:0.0958313
DOC2905 1,1:0.0841374
DOC2906 1,1:0.0659728
DOC2907 1,1:0.091347
DOC2908 1,1:0.0840367
DOC2909 1,1:0.0744696
DOC2910 1,1:0.0859011
DOC2911 1,1:0.0751694
DOC2912 1,1:0.075216
DOC2913 1,1:0.084273
DOC2914 1,1:0.0700822
DOC2915 1,1:0.0934535
DOC2916 1,1:0.0607108
DOC2917 1,1:0.08094
DOC2918 1,1:0.082402
DOC2919 1,1:0.092297
DOC2920 1,1:0.0816643
DOC2921 1,1:0.0775563
DOC2922 1,1:0.0804842
DOC2923 1,1:0.074241
DOC2924 1,1:0.0759453
DOC2925 1,1:0.0741236
DOC2926 1,1:0.0903503
DOC2927 1,1:0.082468
DOC2928 1,1:0.0765146
DOC2929 1,1:0.0751061
DOC2930 1,1:0.0865185
DOC2931 1,1:0.0881812
DOC2932 1,1:0.0754612
DOC2933 1,1:0.0666763
DOC2934 1,1:0.0941338
DOC2935 1,1:0.0781424
DOC2936 1,1:0.0751788
DOC2937 1,1:0.0811425
DOC2938 1,1:0.0737308
DOC2939 1,1:0.0816566
DOC2940 1,1:0.0730789
DOC2941 1,1:0.0801904
DOC2942 1,1:0.0708886
DOC2943 1,1:0.0868016
DOC2944 1,1:0.0827083
DOC2945 1,1:0.0916915
DOC2946 1,1:0.0813549
DOC2947 1,1:0.0909424
DOC2948 1,1:0.075136
DOC2949 1,1:0.0944536
DOC2950 1,1:0.0806328
DOC2951 1,1:0.0852225
DOC2952 1,1:0.0821441
DOC2953 1,1:0.0774764
DOC2954 1,1:0.0659392
DOC2955 1,1:0.0881941
DOC2956 1,1:0.0761808
DOC2957 1,1:0.0849925
DOC2958 1,1:0.0801395
DOC2959 1,1:0.0802194
DOC2960 1,1:0.0671928
DOC2961 1,1:0.0787862
DOC2962 1,1:0.0790198
DOC2963 1,1:0.0756567
DOC2964 1,1:0.0767579
DOC2965 1,1:0.0757253
DOC2966 1,1:0.0871043
DOC2967 1,1:0.0804123
DOC2968 1,1:0.0778041
DOC2969 1,1:0.0971731
DOC2970 1,1:0.0863063
DOC2971 1,1:0.0768273
DOC2972 1,1:0.0797311
DOC2973 1,1:0.0832894
DOC2974 1,1:0.0935205
DOC2975 1,1:0.083424
DOC2976 1,1:0.0757087
DOC2977 1,1:0.077933
DOC2978 1,1:0.0806008
DOC2979 1,1:0.0689972
DOC2980 1,1:0.0858168
DOC2981 1,1:0.0873402
DOC2982 1,1:0.0823159
DOC2983 1,1:0.0853339
DOC2984 1,1:0.0750925
DOC2985 1,1:0.0714407
DOC2986 1,1:0.0859287
DOC2987 1,1:0.0668955
DOC2988 1,1:0.0881268
DOC2989 1,1:0.0835042
DOC2990 1,1:0.079474
DOC2991 1,1:0.0877742
DOC2992 1,1:0.0668014
DOC2993 1,1:0.0808806
DOC2994 1,1:0.0748222
DOC2995 1,1:0.0707739
DOC2996 1,1:0.0819696
DOC2997 1,1:0.0647588
DOC2998 1,1:0.088158
DOC2999 1,1:0.0832133
DOC3000 1,1:0.0737025
DOC3001 1,1:0.0840273
DOC3002 1,1:0.076402
DOC3003 1,1:0.0724541
DOC3004 1,1:0.0818152
DOC3005 1,1:0.0741399
DOC3006 1,1:0.0717394
DOC3007 1,1:0.0798855
DOC3008 1,1:0.0731179
DOC3009 1,1:0.0807338
DOC3010 1,1:0.0879205
DOC3011 1,1:0.0844528
DOC3012 1,1:0.0735083
DOC3013 1,1:0.0815928
DOC3014 1,1:0.0975916
DOC3015 1,1:0.0741005
DOC3016 1,1:0.0741995
DOC3017 1,1:0.0791175
DOC3018 1,1:0.0810102
DOC3019 1,1:0.0784606
DOC3020 1,1:0.076215
DOC3021 1,1:0.0813493
DOC3022 1,1:0.0753086
DOC3023 1,1:0.0790964
DOC3024 1,1:0.0860121
DOC3025 1,1:0.0643551
DOC3026 1,1:0.075027
DOC3027 1,1:0.0903849
DOC3028 1,1:0.0901342
DOC3029 1,1:0.0741262
DOC3030 1,1:0.0712492
DOC3031 1,1:0.0945573
DOC3032 1,1:0.0865998
DOC3033 1,1:0.0757207
DOC3034 1,1:0.0781374
DOC3035 1,1:0.078027
DOC3036 1,1:0.0748447
DOC3037 1,1:0.0869273
DOC3038 1,1:0.0745961
DOC3039 1,1:0.0806573
DOC3040 1,1:0.0890426
DOC3041 1,1:0.0922951
DOC3042 1,1:0.0826773
DOC3043 1,1:0.0751316
DOC3044 1,1:0.0770342
DOC3045 1,1:0.0941775
DOC3046 1,1:0.0822825
DOC3047 1,1:0.0708805
DOC3048 1,1:0.0806802
DOC3049 1,1:0.0907952
DOC3050 1,1:0.0701312
DOC3051 1,1:0.0821584
DOC3052 1,1:0.0860811
DOC3053 1,1:0.0851353
DOC3054 1,1:0.0813911
DOC3055 1,1:0.0958134
DOC3056 1,1:0.0797457
DOC3057 1,1:0.0959212
DOC3058 1,1:0.0810112
DOC3059 1,1:0.0792518
DOC3060 1,1:0.0704785
DOC3061 1,1:0.0870762
DOC3062 1,1:0.0702706
DOC3063 1,1:0.0806426
DOC3064 1,1:0.074711
DOC3065 1,1:0.0587181
DOC3066 1,1:0.0689476
DOC3067 1,1:0.0708118
DOC3068 1,1:0.114414
DOC3069 1,1:0.0673118
DOC3070 1,1:0.082891
DOC3071 1,1:0.0748648
DOC3072 1,1:0.0724039
DOC3073 1,1:0.0776023
DOC3074 1,1:0.0677669
DOC3075 1,1:0.0815852
DOC3076 1,1:0.0829092
DOC3077 1,1:0.0779959
DOC3078 1,1:0.0847643
DOC3079 1,1:0.0836746
DOC3080 1,1:0.084632
DOC3081 1,1:0.0766542
DOC3082 1,1:0.0806017
DOC3083 1,1:0.0757839
DOC3084 1,1:0.0785287
DOC3085 1,1:0.0884566
DOC3086 1,1:0.0802595
DOC3087 1,1:0.0922556
DOC3088 1,1:0.0928158
DOC3089 1,1:0.0768558
DOC3090 1,1:0.0805328
DOC3091 1,1:0.0754222
DOC3092 1,1:0.0949723
DOC3093 1,1:0.0822811
DOC3094 1,1:0.0809179
DOC3095 1,1:0.0883608
DOC3096 1,1:0.0781584
DOC3097 1,1:0.0757112
DOC3098 1,1:0.0690921
DOC3099 1,1:0.0758464
DOC3100 1,1:0.0890828
DOC3101 1,1:0.0823312
DOC3102 1,1:0.0817261
DOC3103 1,1:0.0844911
DOC3104 1,1:0.0778816
DOC3105 1,1:0.0725992
DOC3106 1,1:0.0816729
DOC3107 1,1:0.0800364
DOC3108 1,1:0.0801773
DOC3109 1,1:0.0908745
DOC3110 1,1:0.0791743
DOC3111 1,1:0.0885051
DOC3112 1,1:0.0831034
DOC3113 1,1:0.0761076
DOC3114 1,1:0.0665539
DOC3115 1,1:0.0790283
DOC3116 1,1:0.0830285
DOC3117 1,1:0.0695929
DOC3118 1,1:0.0722483
DOC3119 1,1:0.0860614
DOC3120 1,1:0.0833176
DOC3121 1,1:0.0797184
DOC3122 1,1:0.080045
DOC3123 1,1:0.0820037
DOC3124 1,1:0.0724979
DOC3125 1,1:0.0666004
DOC3126 1,1:0.0722509
DOC3127 1,1:0.0733652
DOC3128 1,1:0.0748667
DOC3129 1,1:0.070623
DOC3130 1,1:0.0848792
DOC3131 1,1:0.0771658
DOC3132 1,1:0.0903036
DOC3133 1,1:0.078508
DOC3134 1,1:0.0815542
DOC3135 1,1:0.0829858
DOC3136 1,1:0.087192
DOC3137 1,1:0.0732293
DOC3138 1,1:0.0755196
DOC3139 1,1:0.0698925
DOC3140 1,1:0.076472
DOC3141 1,1:0.0773091
DOC3142 1,1:0.0781069
DOC3143 1,1:0.0741909
DOC3144 1,1:0.0930238
DOC3145 1,1:0.0752398
DOC3146 1,1:0.0777867
DOC3147 1,1:0.0748852
DOC3148 1,1:0.0762862
DOC3149 1,1:0.0878077
DOC3150 1,1:0.0722728
DOC3151 1,1:0.0777366
DOC3152 1,1:0.0722907
DOC3153 1,1:0.0854086
DOC3154 1,1:0.0669918
DOC3155 1,1:0.072329
DOC3156 1,1:0.0837778
DOC3157 1,1:0.0887138
DOC3158 1,1:0.0815058
DOC3159 1,1:0.0830799
DOC3160 1,1:0.0798189
DOC3161 1,1:0.083541
DOC3162 1,1:0.0698248
DOC3163 1,1:0.0835072
DOC3164 1,1:0.0814617
DOC3165 1,1:0.0793635
DOC3166 1,1:0.0703546
DOC3167 1,1:0.0740476
DOC3168 1,1:0.0772157
DOC3169 1,1:0.0778698
DOC3170 1,1:0.0884705
DOC3171 1,1:0.0825691
DOC3172 1,1:0.0795561
DOC3173 1,1:0.10145
DOC3174 1,1:0.0735148
DOC3175 1,1:0.0873482
DOC3176 1,1:0.0789435
DOC3177 1,1:0.0751797
DOC3178 1,1:0.0849359
DOC3179 1,1:0.0922795
DOC3180 1,1:0.090627
DOC3181 1,1:0.0661689
DOC3182 1,1:0.0831807
DOC3183 1,1:0.07068
DOC3184 1,1:0.0779516
DOC3185 1,1:0.0729533
DOC3186 1,1:0.0787413
DOC3187 1,1:0.0781395
DOC3188 1,1:0.0785295
DOC3189 1,1:0.0811634
DOC3190 1,1:0.089341
DOC3191 1,1:0.0841646
DOC3192 1,1:0.0847725
DOC3193 1,1:0.0780628
DOC3194 1,1:0.0761721
DOC3195 1,1:0.0836931
DOC3196 1,1:0.0862759
DOC3197 1,1:0.085732
DOC3198 1,1:0.0751388
DOC3199 1,1:0.0815588
DOC3200 1,1:0.0899952
DOC3201 1,1:0.0870646
DOC3202 1,1:0.0747168
DOC3203 1,1:0.0739873
DOC3204 1,1:0.0743296
DOC3205 1,1:0.0815714
DOC3206 1,1:0.0823862
DOC3207 1,1:0.0721021
DOC3208 1,1:0.0954427
DOC3209 1,1:0.0837938
DOC3210 1,1:0.0829217
DOC3211 1,1:0.0851907
DOC3212 1,1:0.0761068
DOC3213 1,1:0.0798154
DOC3214 1,1:0.0743813
DOC3215 1,1:0.0778224
DOC3216 1,1:0.0889742
DOC3217 1,1:0.087398
DOC3218 1,1:0.0847525
DOC3219 1,1:0.071002
DOC3220 1,1:0.0731526
DOC3221 1,1:0.0712368
DOC3222 1,1:0.0884789
DOC3223 1,1:0.09162
DOC3224 1,1:0.0820369
DOC3225 1,1:0.0785154
DOC3226 1,1:0.0834812
DOC3227 1,1:0.0823897
DOC3228 1,1:0.077669
DOC3229 1,1:0.0781354
DOC3230 1,1:0.0910065
DOC3231 1,1:0.08634
DOC3232 1,1:0.0814688
DOC3233 1,1:0.0739354
DOC3234 1,1:0.0888613
DOC3235 1,1:0.0651702
DOC3236 1,1:0.0893905
DOC3237 1,1:0.0889731
DOC3238 1,1:0.0734681
DOC3239 1,1:0.0735684
DOC3240 1,1:0.0824237
DOC3241 1,1:0.0748546
DOC3242 1,1:0.0798265
DOC3243 1,1:0.0963019
DOC3244 1,1:0.0823496
DOC3245 1,1:0.0836073
DOC3246 1,1:0.0873709
DOC3247 1,1:0.0715218
DOC3248 1,1:0.101943
DOC3249 1,1:0.0703635
DOC3250 1,1:0.0884874
DOC3251 1,1:0.083706
DOC3252 1,1:0.072493
DOC3253 1,1:0.0881793
DOC3254 1,1:0.0859382
DOC3255 1,1:0.0700641
DOC3256 1,1:0.0758853
DOC3257 1,1:0.0950798
DOC3258 1,1:0.0736059
DOC3259 1,1:0.0835113
DOC3260 1,1:0.0777492
DOC3261 1,1:0.0830292
DOC3262 1,1:0.0742907
DOC3263 1,1:0.084417
DOC3264 1,1:0.075368
DOC3265 1,1:0.0814302
DOC3266 1,1:0.0865367
DOC3267 1,1:0.0787386
DOC3268 1,1:0.0712787
DOC3269 1,1:0.0806381
DOC3270 1,1:0.0800696
DOC3271 1,1:0.0788419
DOC3272 1,1:0.0754532
DOC3273 1,1:0.0703764
DOC3274 1,1:0.0677261
DOC3275 1,1:0.0821402
DOC3276 1,1:0.0873681
DOC3277 1,1:0.0728871
DOC3278 1,1:0.0630589
DOC3279 1,1:0.0700942
DOC3280 1,1:0.0776789
DOC3281 1,1:0.0835263
DOC3282 1,1:0.0769137
DOC3283 1,1:0.0804179
DOC3284 1,1:0.0875402
DOC3285 1,1:0.0759564
DOC3286 1,1:0.0741395
DOC3287 1,1:0.0848573
DOC3288 1,1:0.0855872
DOC3289 1,1:0.0727065
DOC3290 1,1:0.0754338
DOC3291 1,1:0.0756935
DOC3292 1,1:0.087339
DOC3293 1,1:0.0741223
DOC3294 1,1:0.0737522
DOC3295 1,1:0.0872885
DOC3296 1,1:0.0812572
DOC3297 1,1:0.0674312
DOC3298 1,1:0.0745195
DOC3299 1,1:0.0880299
DOC3300 1,1:0.0866508
DOC3301 1,1:0.0859925
DOC3302 1,1:0.0816334
DOC3303 1,1:0.0730194
DOC3304 1,1:0.092658
DOC3305 1,1:0.0818735
DOC3306 1,1:0.0790327
DOC3307 1,1:0.0788617
DOC3308 1,1:0.0842013
DOC3309 1,1:0.0791289
DOC3310 1,1:0.0805676
DOC3311 1,1:0.0754396
DOC3312 1,1:0.0786318
DOC3313 1,1:0.0794771
DOC3314 1,1:0.0772159
DOC3315 1,1:0.0734052
DOC3316 1,1:0.0751501
DOC3317 1,1:0.0789217
DOC3318 1,1:0.075396
DOC3319 1,1:0.0871514
DOC3320 1,1:0.074723
DOC3321 1,1:0.0887054
DOC3322 1,1:0.0696064
DOC3323 1,1:0.0822479
DOC3324 1,1:0.0699941
DOC3325 1,1:0.085228
DOC3326 1,1:0.0747099
DOC3327 1,1:0.0765813
DOC3328 1,1:0.0894774
DOC3329 1,1:0.0745662
DOC3330 1,1:0.0810542
DOC3331 1,1:0.0831078
DOC3332 1,1:0.0901915
DOC3333 1,1:0.0702416
DOC3334 1,1:0.0756001
DOC3335 1,1:0.0823808
DOC3336 1,1:0.0876328
DOC3337 1,1:0.103303
DOC3338 1,1:0.0897974
DOC3339 1,1:0.0870686
DOC3340 1,1:0.0828042
DOC3341 1,1:0.0875497
DOC3342 1,1:0.0729146
DOC3343 1,1:0.0745128
DOC3344 1,1:0.0801321
DOC3345 1,1:0.0720057
DOC3346 1,1:0.0846059
DOC3347 1,1:0.0777672
DOC3348 1,1:0.0889297
DOC3349 1,1:0.0894111
DOC3350 1,1:0.0765122
DOC3351 1,1:0.0736475
DOC3352 1,1:0.0772627
DOC3353 1,1:0.0730941
DOC3354 1,1:0.0778455
DOC3355 1,1:0.0761234
DOC3356 1,1:0.0756794
DOC3357 1,1:0.0791838
DOC3358 1,1:0.0670127
DOC3359 1,1:0.0926613
DOC3360 1,1:0.0767944
DOC3361 1,1:0.0915943
DOC3362 1,1:0.0737207
DOC3363 1,1:0.0829227
DOC3364 1,1:0.0935053
DOC3365 1,1:0.0864664
DOC3366 1,1:0.0734159
DOC3367 1,1:0.0727904
DOC3368 1,1:0.0804268
DOC3369 1,1:0.0804274
DOC3370 1,1:0.0793212
DOC3371 1,1:0.0825723
DOC3372 1,1:0.0800177
DOC3373 1,1:0.1056
DOC3374 1,1:0.0841174
DOC3375 1,1:0.0758722
DOC3376 1,1:0.082197
DOC3377 1,1:0.0939138
DOC3378 1,1:0.0942165
DOC3379 1,1:0.0810262
DOC3380 1,1:0.0933482
DOC3381 1,1:0.0886726
DOC3382 1,1:0.0733762
DOC3383 1,1:0.085888
DOC3384 1,1:0.0816727
DOC3385 1,1:0.0957666
DOC3386 1,1:0.067567
DOC3387 1,1:0.0869323
DOC3388 1,1:0.0681801
DOC3389 1,1:0.0916331
DOC3390 1,1:0.0876889
DOC3391 1,1:0.0841823
DOC3392 1,1:0.0805769
DOC3393 1,1:0.080729
DOC3394 1,1:0.074812
DOC3395 1,1:0.0794662
DOC3396 1,1:0.0690608
DOC3397 1,1:0.0748977
DOC3398 1,1:0.0785387
DOC3399 1,1:0.0912919
DOC3400 1,1:0.0738204
DOC3401 1,1:0.0726475
DOC3402 1,1:0.0761566
DOC3403 1,1:0.0738831
DOC3404 1,1:0.0778523
DOC3405 1,1:0.0877388
DOC3406 1,1:0.0808745
DOC3407 1,1:0.0760688
DOC3408 1,1:0.0854716
DOC3409 1,1:0.0810261
DOC3410 1,1:0.0771571
DOC3411 1,1:0.080248
DOC3412 1,1:0.0798078
DOC3413 1,1:0.083448
DOC3414 1,1:0.0739754
DOC3415 1,1:0.0869532
DOC3416 1,1:0.0640392
DOC3417 1,1:0.0823666
DOC3418 1,1:0.0758267
DOC3419 1,1:0.0705742
DOC3420 1,1:0.075102
DOC3421 1,1:0.0818121
DOC3422 1,1:0.0720228
DOC3423 1,1:0.0799492
DOC3424 1,1:0.0840402
DOC3425 1,1:0.0797152
DOC3426 1,1:0.0844214
DOC3427 1,1:0.081554
DOC3428 1,1:0.0904351
DOC3429 1,1:0.0888747
DOC3430 1,1:0.0912805
DOC3431 1,1:0.0935298
DOC3432 1,1:0.101601
DOC3433 1,1:0.0747004
DOC3434 1,1:0.0777879
DOC3435 1,1:0.0919088
DOC3436 1,1:0.0743055
DOC3437 1,1:0.0760004
